Herb_ChineseName	Pinyin name	Pharmacopoeial Latin name	Botanical source	Botanical authority	Standardized botanical name source	Material category	Botanical/source note	type	Nature, Flavor and Toxicity	Meridian Tropism	Traditional Actions	Traditional Indications
石菖蒲	Shi Chang Pu	Acori Tatarinowii Rhizoma	Acorus tatarinowii	Schott	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Medicinal part: dried rhizome.	phytomedicine	辛、苦，温	归心、胃经	开窍豁痰，醒神益智，化湿开胃	用于神昏癫痫，健忘失眠，耳鸣耳聋，脘痞不饥，噤口下痢
熟地黄	Shu Di Huang	Rehmanniae Radix Praeparata	Rehmannia glutinosa	(Gaertn.) DC.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Processed herbal piece derived from 地黄; Medicinal part: tuberous root; raw material for Shudihuang; ChP 2020 Vol.1, Page 109	phytomedicine	甘，微温	归肝、肾经	补血滋阴，益精填髓	用于血虚萎黄，心悸怔忡，月经不调，崩漏下血，肝肾阴虚，腰膝酸软，骨蒸潮热，盗汗遗精，内热消渴，眩晕，耳鸣，须发早白
水牛角	Shui Niu Jiao	Bubali Cornu	Bubalus bubalis	Linnaeus	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E6%B0%B4%E7%89%9B%E8%A7%92)	Animal Medicines	苦，寒	归心、肝经	清热凉血，解毒，定惊	用于温病高热，神昏谵语，发斑发疹，吐血衄血，惊风，癫狂
丝瓜络	Si Gua Luo	Retinervus Luffae Fructus	Luffa cylindrica	(L.) Roem.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Medicinal part: dried ripe fruit; Source: Zhongyao Da Baike, URL: https://www.zhongyibaike.com/wiki/%E4%B8%9D%E7%93%9C%E7%BB%9C	phytomedicine	甘，平	归肺、胃、肝经	祛风，通络，活血，下乳	用于痹痛拘挛，胸胁胀痛，乳汁不通，乳痈肿痛
松花粉	Song Hua Fen	Pini Pollen	Pinus massoniana; Pinus tabuliformis	Lamb.; Carr.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E6%9D%BE%E8%8A%B1%E7%B2%89)	phytomedicine	甘，温	归肝、脾经	收敛止血，燥湿敛疮	用于外伤出血，湿疹，黄水疮，皮肤糜烂，脓水淋漓
苏木	Su Mu	Sappan Lignum	Caesalpinia sappan	L.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Medicinal part: dried leaf; Source: Zhongyao Da Baike, URL: https://www.zhongyibaike.com/wiki/%E8%8B%8F%E6%9C%A8	phytomedicine	甘、咸，平	归心、肝、脾经	活血祛瘀，消肿止痛	用于跌打损伤，骨折筋伤，瘀滞肿痛，经闭痛经，产后瘀阻，胸腹刺痛，痈疽肿痛
苏叶	Su Ye	Perillae Folium	Perilla frutescens	(L.) Britt.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Processed herbal piece derived from 紫苏叶; Medicinal part: dried leaf; ChP 2020 Vol.1, Page 506	phytomedicine	辛，温	归肺，脾经	解表散寒，行气和胃	主治感冒风寒，恶寒发热，咳嗽，气喘，胸腹胀满，胎动不安，解鱼蟹毒
酸枣仁	Suan Zao Ren	Ziziphi Spinosae Semen	Ziziphus jujuba	Mill. var. spinosa	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried ripe seed; ChP 2020 Vol.1, Page 410	phytomedicine	甘、酸，平	归肝、胆、心经	养心补肝，宁心安神，敛汗，生津	用于虚烦不眠，惊悸多梦，体虚多汗，津伤口渴
太子参	Tai Zi Shen	Pseudostellariae Radix	Pseudostellaria heterophylla	(Miq.) Pax ex Pax et Hoffm.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E5%A4%AA%E5%AD%90%E5%8F%82)	phytomedicine	甘、微苦，平	归脾、肺经	益气健脾，生津润肺	用于脾虚体倦，食欲不振，病后虚弱，气阴不足，自汗口渴，肺燥干咳
檀香	Tan Xiang	Santali Albi Lignum	Santalum album	L.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E6%AA%80%E9%A6%99)	phytomedicine	辛，温	归脾、胃、心、肺经	行气温中，开胃止痛	用于寒凝气滞，胸膈不舒，胸痹心痛，脘腹疼痛，呕吐食少
桃仁	Tao Ren	Persicae Semen	Prunus persica; Prunus davidiana	(L.) Batsch; (Carrière) Franch.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part is the dried ripe seed. Both listed species are legally acceptable original plants in Chinese Pharmacopoeia.	phytomedicine	苦、甘，平	归心、肝、大肠经	活血祛瘀，润肠通便，止咳平喘	用于经闭痛经，癥瘕痞块，肺痈肠痈，跌扑损伤，肠燥便秘，咳嗽气喘
天冬	Tian Dong	Asparagi Radix	Asparagus cochinchinensis	(Lour.) Merr.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E5%A4%A9%E5%86%AC)	phytomedicine	甘、苦，寒	归肺、肾经	养阴润燥，清肺生津	用于肺燥干咳，顿咳痰黏，腰膝酸痛，骨蒸潮热，内热消渴，热病津伤，咽干口渴，肠燥便秘
天花粉	Tian Hua Fen	Trichosanthis Radix	Trichosanthes kirilowii; Trichosanthes rosthornii	Maxim.; Harms	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Medicinal part: dried root; Source: Zhongyao Da Baike, URL: https://www.zhongyibaike.com/wiki/%E5%A4%A9%E8%8A%B1%E7%B2%89	phytomedicine	甘、微苦，微寒	归肺、胃经	清热泻火，生津止渴，消肿排脓	用于热病烦渴，肺热燥咳，内热消渴，疮疡肿毒
天麻	Tian Ma	Gastrodiae Rhizoma	Gastrodia elata	Bl.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried rhizome; ChP 2020 Vol.1, Page 422	phytomedicine	甘，平	归肝经	息风止痉，平肝阳；祛风通络	主急慢惊风，抽搐拘挛，眩晕，头痛，半身不遂，肢麻，风湿痹痛
天名精	Tian Ming Jing	Carpesii Herba	Carpesium abrotanoides	L.	Zhongyibaike (https://zhongyibaike.com/wiki/%E5%A4%A9%E5%90%8D%E7%B2%BE)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E5%A4%A9%E5%90%8D%E7%B2%BE)	phytomedicine	辛，寒	归肝，肺经	祛痰，清热，破血，止血，解毒，杀虫	治乳蛾，喉痹，疟疾，急性肝炎，急慢惊风，虫积，血瘕，衄血，血淋，疔肿疮毒，皮肤痒疹
天南星	Tian Nan Xing	Arisaematis Rhizoma	Arisaema heterophyllum	Blume	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Multi-basal species; Toxic medicinal material; Medicinal part: dried tuber; ChP 2020 Vol.1, Page 424	phytomedicine	苦、辛，温；有毒	归肺、肝、脾经	散结消肿	外用治痈肿，蛇虫咬伤
天竺黄	Tian Zhu Huang	Bambusae Concretio Silicea	Bambusa textilis; Schizostachyum chinense	McClure; Rendle	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E5%A4%A9%E7%AB%BA%E9%BB%84)	phytomedicine	甘，寒	归心、肝经	清热豁痰，凉心定惊	用于热病神昏，中风痰迷，小儿痰热惊痫、抽搐、夜啼
葶苈子	Ting Li Zi	Descurainiae Semen Lepidii Semen	Descurainia sophia; Lepidium apetalum	(L.) Webb. ex Prantl; Willd.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E8%91%B6%E8%8B%88%E5%AD%90)	phytomedicine	辛、苦，大寒	归肺、膀胱经	泻肺平喘，行水消肿	用于痰涎壅肺，喘咳痰多，胸胁胀满，不得平卧，胸腹水肿，小便不利
通草	Tong Cao	Tetrapanacis Medulla	Tetrapanax papyrifer	(Hook.) K. Koch	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E9%80%9A%E8%8D%89)	phytomedicine	甘、淡，微寒	归肺、胃经	清热利尿，通气下乳	用于湿热淋证，水肿尿少，乳汁不下
土鳖虫	Tu Bie Chong	Eupolyphaga seu Steleophaga	Eupolyphaga sinensis; Steleophaga plancyi	Walker; (Boleny)	Chinese Pharmacopoeia 2020 Edition (Volume I)	animal-derived medicine	Medicinal part: dried dried body; Source: Zhongyao Da Baike, URL: https://www.zhongyibaike.com/wiki/%E5%9C%9F%E9%B3%96%E8%99%AB	Animal Medicines	咸，寒，有小毒	归肝经	破瘀血，续筋骨	用于筋骨折伤，瘀血经闭，癥瘕痞块
土茯苓	Tu Fu Ling	Smilacis Glabrae Rhizoma	Smilax glabra	Roxb	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried rhizome; ChP 2020 Vol.1, Page 430	phytomedicine	甘、淡，平	归肝、胃经	解毒，除湿，通利关节	用于梅毒及汞中毒所致的肢体拘挛，筋骨疼痛；湿热淋浊，带下，痈肿，瘰疬，疥癣
菟丝子	Tu Si Zi	Cuscutae Semen	Cuscuta chinensis	Lam	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Multi-basal species; Medicinal part: dried ripe seed; ChP 2020 Vol.1, Page 432	phytomedicine	辛、甘，平	归肝、肾、脾经	补益肝肾，固精缩尿，安胎，明目，止泻；外用消风祛斑	用于肝肾不足，腰膝酸软，阳痿遗精，遗尿尿频，肾虚胎漏，胎动不安，目昏耳鸣，脾肾虚泻；外治白癜风
瓦楞子	Wa Leng Zi	Arcae Concha	Arca subcrenata; Arca granosa; Arca inflata	Lischke; Linnaeus; Reeve	Chinese Pharmacopoeia 2020 Edition (Volume I)	animal-derived medicine	Medicinal part: dried shell; Source: Zhongyao Da Baike, URL: https://www.zhongyibaike.com/wiki/%E7%93%A6%E6%A5%9E%E5%AD%90	Animal Medicines	咸，平	归肺、胃、肝经	消痰化瘀，软坚散结，制酸止痛	用于顽痰胶结，黏稠难咯，瘿瘤，瘰疬，癥瘕痞块，胃痛泛酸
王不留行	Wang Bu Liu Xing	Vaccariae Semen	Vaccaria segetalis	(Neck.) Garcke	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Medicinal part: dried ripe seed.	phytomedicine	苦，平	归肝、胃经	活血通经，下乳消肿，利尿通淋	用于经闭，痛经，乳汁不下，乳痈肿痛，淋证涩痛
威灵仙	Wei Ling Xian	Clematidis Radix et Rhizoma	Clematis chinensis; Clematis hexapetala; Clematis manshurica	Osbeck; Pall.; Rupr.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E5%A8%81%E7%81%B5%E4%BB%99)	phytomedicine	辛、咸，温	归膀胱经	祛风湿，通经络	用于风湿痹痛，肢体麻木，筋脉拘挛，屈伸不利
乌梅	Wu Mei	Mume Fructus	Prunus mume	(Sieb.) Sieb. et Zucc.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E4%B9%8C%E6%A2%85)	phytomedicine	酸、涩，平	归肝、脾、肺、大肠经	敛肺，涩肠，生津，安蛔	用于肺虚久咳，久泻久痢，虚热消渴，蛔厥呕吐腹痛
乌梢蛇	Wu Shao She	Zaocys	Zaocys dhumnades	(Cantor)	Zhongyao Da Baike	animal-derived medicine	Medicinal part: dried body; collected in spring/autumn	Animal Medicines	甘，平	归肝经	祛风，通络，止痉	用于风湿顽痹，麻木拘挛，中风口眼㖞斜，半身不遂，抽搐痉挛，破伤风，麻风，疥癣
乌药	Wu Yao	Linderae Radix	Lindera aggregata	(Sims) Kosterm.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E4%B9%8C%E8%8D%AF)	phytomedicine	辛，温	归肺、脾、肾、膀胱经	行气止痛，温肾散寒	用于寒凝气滞，胸腹胀痛，气逆喘急，膀胱虚冷，遗尿尿频，疝气疼痛，经寒腹痛
吴茱萸	Wu Zhu Yu	Euodiae Fructus	Evodia rutaecarpa; Evodia rutaecarpa var. officinalis; Evodia rutaecarpa var. bodinieri	(Juss.) Benth.; (Juss.) Benth. var. officinalis (Dode) Huang; (Juss.) Benth. var. bodinieri (Dode) Huang	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E5%90%B4%E8%8C%B1%E8%90%B8)	phytomedicine	辛、苦，热；有小毒	归肝、脾、胃、肾经	散寒止痛，降逆止呕，助阳止泻	用于厥阴头痛，寒疝腹痛，寒湿脚气，经行腹痛，脘腹胀痛，呕吐吞酸，五更泄泻
五味子	Wu Wei Zi	Schisandrae Chinensis Fructus	Schisandra chinensis	(Turcz.) Baill.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried ripe fruit; ChP 2020 Vol.1, Page 450	phytomedicine	酸、甘，温	归肺、心、肾经	收敛固涩，益气生津，补肾宁心	用于久嗽虚喘，梦遗滑精，遗尿尿频，久泻不止，自汗盗汗，津伤口渴，内热消渴，心悸失眠
西青果	Xi Qing Guo	Chebulae Fructus Immaturus	Terminalia chebula var. tomentella	Retz. var. tomentella Kurt.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E8%A5%BF%E9%9D%92%E6%9E%9C)	phytomedicine	苦，微甘，涩，微寒	归肺，胃经	清热生津，利咽解毒	主虚证白喉，扁桃体炎，菌痢，痢疾，肠炎
稀莶草	Xi Xian Cao	Siegesbeckiae Herba	Siegesbeckia orientalis; Siegesbeckia pubescens; Siegesbeckia glabrescens	L.; Makino; Makino	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Medicinal part: dried aerial part; Source: Zhongyao Da Baike, URL: https://www.zhongyibaike.com/wiki/%E7%A8%80%E8%8E%B6%E8%8D%89	phytomedicine	辛，苦，寒	归肝、肾经	祛风湿，利筋骨，降血压	治四肢麻痹，筋骨疼痛，腰膝无力，疟疾，急性肝炎，高血压病，疔疮肿毒，外伤出血
细辛	Xi Xin	Asari Radix et Rhizoma	Asarum heterotropoides	Fr. Schmidt	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Multi-basal species; Toxic medicinal material; Medicinal part: dried root and rhizome; ChP 2020 Vol.1, Page 454	phytomedicine	辛，温	归心、肺、肾经	解表散寒，祛风止痛，通窍，温肺化饮	用于风寒感冒，头痛，牙痛，鼻塞流涕，鼻鼽，鼻渊，风湿痹痛，痰饮喘咳
夏枯草	Xia Ku Cao	Prunellae Spica	Prunella vulgaris	L	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried fruit spike; ChP 2020 Vol.1, Page 456	phytomedicine	辛、苦，寒	归肝、胆经	清肝泻火，明目，散结消肿	用于目赤肿痛，目珠夜痛，头痛眩晕，瘰疬，瘿瘤，乳痈，乳癖，乳房胀痛
仙鹤草	Xian He Cao	Agrimoniae Herba	Agrimonia pilosa	Ledeb.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Medicinal part: dried aerial part.	phytomedicine	苦、涩，平	归心、肝经	收敛止血，截疟，止痢，解毒，补虚	用于咯血，吐血，崩漏下血，疟疾，血痢，痈肿疮毒，阴痒带下，脱力劳伤
仙茅	Xian Mao	Curculiginis Rhizoma	Curculigo orchioides	Gaertn.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Medicinal part: dried rhizome.	phytomedicine	辛，热；有毒	归肾、肝、脾经	补肾阳，强筋骨，祛寒湿	用于阳痿精冷，筋骨痿软，腰膝冷痛，阳虚冷泻
香附	Xiang Fu	Cyperi Rhizoma	Cyperus rotundus	L	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried rhizome; ChP 2020 Vol.1, Page 458	phytomedicine	辛、微苦、微甘，平	归肝、脾、三焦经	疏肝解郁，理气宽中，调经止痛	用于肝郁气滞，胸胁胀痛，疝气疼痛，乳房胀痛，脾胃气滞，脘腹痞闷，胀满疼痛，月经不调，经闭痛经
香薷	Xiang Ru	Moslae Herba	Elsholtzia ciliata	(Thunb.) Hyland.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E9%A6%99%E8%96%B7)	phytomedicine	辛，微温	归肺、胃经	发汗解表，化湿和中	用于暑湿感冒，恶寒发热，头痛无汗，腹痛吐泻，水肿，小便不利
小茴香	Xiao Hui Xiang	Foeniculi Fructus	Foeniculum vulgare	Mill	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried ripe fruit; ChP 2020 Vol.1, Page 460	phytomedicine	辛，温	归肝、肾、脾、胃经	散寒止痛，理气和胃	用于寒疝腹痛，睾丸偏坠，痛经，少腹冷痛，脘腹胀痛，食少吐泻。盐小茴香暖肾散寒止痛，用于寒疝腹痛，睾丸偏坠，经寒腹痛
薤白	Xie Bai	Allii Macrostemonis Bulbus	Allium macrostemon; Allium chinense	Bunge; G. Don	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Medicinal part: dried root; Source: Zhongyao Da Baike, URL: https://www.zhongyibaike.com/wiki/%E8%96%A4%E7%99%BD	phytomedicine	辛、苦，温	归心、肺、胃、大肠经	通阳散结，行气导滞	用于胸痹心痛，脘腹痞满胀痛，泻痢后重
辛夷	Xin Yi	Magnoliae Flos	Magnolia biondii	Pamp.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Multi-basal species; Medicinal part: dried flower bud; ChP 2020 Vol.1, Page 462	phytomedicine	辛，温	归肺、胃经	散风寒，通鼻窍	用于风寒头痛，鼻塞流涕，鼻鼽，鼻渊
杏仁	Xing Ren	Armeniacae Semen Amarum	Prunus armeniaca var. ansu; Prunus sibirica	L. var. ansu Maxim.; L.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Medicinal part: dried ripe seed.	phytomedicine	苦，微温，有小毒	归肺，大肠经	降气，祛痰止咳，平喘，润肠	治外感咳嗽，喘满，喉痹，肠燥便秘
雄黄	Xiong Huang	Realgar	Realgar mineral	Natural mineral	Zhongyao Da Baike	mineral medicine	Toxic; used externally for detoxification; avoid oral administration in large doses	Mineral Medicine	辛，温；有毒	归肝、大肠经	解毒杀虫，燥湿祛痰，截疟	用于痈肿疔疮，蛇虫咬伤，虫积腹痛，惊痫，疟疾
徐长卿	Xu Zhang Qing	Cynanchi Paniculati Radix et Rhizoma	Cynanchum paniculatum	(Bunge) Kitagawa	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried root and rhizome; ChP 2020 Vol.1, Page 464	phytomedicine	辛，温	归肝、胃经	祛风，化湿，止痛，止痒	用于风湿痹痛，胃痛胀满，牙痛，腰痛，跌扑伤痛，风疹、湿疹
玄参	Xuan Shen	Scrophulariae Radix	Scrophularia ningpoensis	Hemsl.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried root; ChP 2020 Vol.1, Page 466	phytomedicine	甘、苦、咸，微寒	归肺、胃、肾经	清热凉血，滋阴降火，解毒散结	用于热入营血，温毒发斑，热病伤阴，舌绛烦渴，津伤便秘，骨蒸劳嗽，目赤，咽痛，白喉，瘰疬，痈肿疮毒
旋覆花	Xuan Fu Hua	Inulae Flos	Inula japonica; Inula britannica	Thunb.; L.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E6%97%8B%E8%A6%86%E8%8A%B1)	phytomedicine	苦，辛，咸，微温	归肺，胃，大肠经	消痰，下气，软坚，行水	治胸中痰结，胁下胀满，咳喘，呃逆，唾如胶漆，心下痞鞕，噫气不除，大腹水肿
雪莲花	Xue Lian Hua	Saussureae Involucratae Herba	Saussurea involucrata	(Kar. et Kir.) Sch.-Bip.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E9%9B%AA%E8%8E%B2%E8%8A%B1)	phytomedicine	甘，苦，温	归肝，脾，肾经	除寒，补肾壮阳，调经，止血	治阳萎，腰膝软弱，妇女崩带，月经不调，风湿性关节炎，外伤出血
血竭	Xue Jie	Draconis Sanguis	Dracaena cochinchinensis	(Lour.) S. C. Chen	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E8%A1%80%E7%AB%AD)	phytomedicine	甘、咸，平	归心、肝经	活血定痛，化瘀止血，生肌敛疮	用于跌打损伤，心腹瘀痛，外伤出血，疮疡不敛
鸭跖草	Ya Zhi Cao	Commelinae Herba	Commelina communis	L.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Medicinal part: dried aerial part; Source: Zhongyao Da Baike, URL: https://www.zhongyibaike.com/wiki/%E9%B8%AD%E8%B7%96%E8%8D%89	phytomedicine	甘、淡，寒	归肺、胃、小肠经	清热泻火，解毒，利水消肿	用于感冒发热，热病烦渴，咽喉肿痛，水肿尿少，热淋涩痛，痈肿疔毒
延胡索	Yan Hu Suo	Corydalis Rhizoma	Corydalis yanhusuo	W. T. Wang ex Z. Y. Su et C. Y. Wu	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E5%BB%B6%E8%83%A1%E7%B4%A2)	phytomedicine	辛，苦，温	归肝，胃，心，肺，脾经	活血，散瘀，理气，止痛	治心腹腰膝诸痛，月经不调，癥瘕，崩中，产后血晕，恶露不尽，跌打损伤
岩白菜	Yan Bai Cai	Bergeniae Rhizoma	Bergenia purpurascens; Bergenia crassifolia	(Hook. f. et Thoms.) Engl.; (L.) Fritsch	Zhongyibaike (https://zhongyibaike.com/wiki/%E5%B2%A9%E7%99%BD%E8%8F%9C)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E5%B2%A9%E7%99%BD%E8%8F%9C)	phytomedicine	苦、涩，平	归肺、肝、脾经	收敛止泻，止血止咳，舒筋活络	用于腹泻，痢疾，食欲不振，内外伤出血，肺结核咳嗽，气管炎咳嗽，风湿疼痛，跌打损伤
淫羊藿	Yin Yang Huo	Epimedii Folium	Epimedium brevicornum	Maxim	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Multi-basal species; Medicinal part: dried leaf; ChP 2020 Vol.1, Page 476	phytomedicine	辛、甘，温	归肝、肾经	补肾壮阳，祛风除湿	治阳痿不举，小便淋沥，筋骨挛急，半身不遂，腰膝无力，风湿痹痛，四肢不仁
洋金花	Yang Jin Hua	Daturae Flos	Datura metel	L.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E6%B4%8B%E9%87%91%E8%8A%B1)	phytomedicine	辛，温；有毒	归肺、肝经	平喘止咳，解痉定痛	用于哮喘咳嗽，脘腹冷痛，风湿痹痛，小儿慢惊；外科麻醉
野菊花	Ye Ju Hua	Chrysanthemi Indici Flos	Chrysanthemum indicum	L.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Medicinal part: dried capitulum (flower head).	phytomedicine	苦、辛，微寒	归肝、心经	清热解毒，泻火平肝	用于疔疮痈肿，目赤肿痛，头痛眩晕
一枝蒿	Yi Zhi Hao	Artemisiae Rupestris Herba	Phoebe neuranthoides	S.K.Lee & F.N.Wei	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	GBIF species ID: 176777672; taxonomic status: N/A	phytomedicine	苦、辛，温，有大毒	归肝经	消炎止痛，祛风除湿	用于跌打损伤，风湿骨痛，牙痛；外用治骨折，扭伤，疮疡肿毒
薏苡仁	Yi Yi Ren	Coicis Semen	Coix lacryma-jobi var. ma-yuen	(Roman.) Stapf	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried ripe seed; ChP 2020 Vol.1, Page 472	phytomedicine	甘、淡，凉	归脾、胃、肺经	利水渗湿，健脾止泻，除痹，排脓，解毒散结	用于水肿，脚气，小便不利，脾虚泄泻，湿痹拘挛，肺痈，肠痈，赘疣，癌肿
益母草	Yi Mu Cao	Leonuri Herba	Leonurus japonicus	Houtt	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried aerial part; ChP 2020 Vol.1, Page 470	phytomedicine	苦、辛，微寒	归肝、心包、膀胱经	活血调经，利尿消肿，清热解毒	用于月经不调，痛经经闭，恶露不尽，水肿尿少，疮疡肿毒
益智仁	Yi Zhi Ren	Alpiniae Oxyphyllae Fructus	Alpinia oxyphylla	Miq.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E7%9B%8A%E6%99%BA%E4%BB%81)	phytomedicine	辛，温	归脾，肾经	温脾止泻，暖肾，固气，涩精缩尿	治冷气腹痛，中寒吐泻，多唾，遗精，小便余沥，夜多小便
茵陈	Yin Chen	Artemisiae Scopariae Herba	Artemisia scoparia	Waldst. et Kit	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Multi-basal species; Medicinal part: dried seedling or aerial part; ChP 2020 Vol.1, Page 474	phytomedicine	苦、辛，微寒	归脾、胃、肝、胆经	清利湿热，利胆退黄	用于黄疸尿少，湿温暑湿，湿疮瘙痒
淫羊藿	Yin Yang Huo	Epimedii Folium	Epimedium brevicornum	Maxim	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Multi-basal species; Medicinal part: dried leaf; ChP 2020 Vol.1, Page 476	phytomedicine	辛、甘，温	归肝、肾经	补肾阳，强筋骨，祛风湿	用于肾阳虚衰，阳痿遗精，筋骨痿软，风湿痹痛，麻木拘挛
银柴胡	Yin Chai Hu	Stellariae Radix	Stellaria dichotoma var. lanceolata	L. var. lanceolata Bge.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E9%93%B6%E6%9F%B4%E8%83%A1)	phytomedicine	甘，微寒	归肝、胃经	清虚热，除疳热	用于阴虚发热，骨蒸劳热，小儿疳热
